"Date","z0_pro","SolarZenMin","TimeSolarZenMin","AlbedoSolarZenMin","LandSatR","Wns_rad","Wns_modis","ustarUh_pro","uTstarUh_rad","usstarUh_rad","uTstarUh_rad_filt","usstarUh_rad_filt","usstarUh.modis","uTstarUh.modis"
"2018-04-01",0.00204050732783688,27.823,"13:11:00",0.3556029,0.39645,0.000181189645970498,0.00693420553579926,0.051525325265839,0.0382006316348432,0.0379862911932014,0.0382006316348432,0.0379862911932014,0.0577933178287094,0.0318098222808594
"2018-04-02",0.00184461570030603,27.43871,"13:10:00",0.3466845,0.39645,0.000182313303632248,0.00690373871475458,0.0508640515910684,0.0382022797815303,0.0379854947914834,0.0382022797815303,0.0379854947914834,0.0577047510414173,0.0318376887927865
"2018-04-03",0.00247373132907072,27.05585,"13:10:00",0.3451157,0.39645,0.000182510961748025,0.00684748264029622,0.0528356669540654,0.0382025700379557,0.0379853546351389,0.0382025700379557,0.0379853546351389,0.0575408624866421,0.0318891832727525
"2018-04-04",0.00149038475762582,26.67478,"13:10:00",0.3458808,0.39645,0.000182414564358691,0.00684748264029622,0.0495212723896962,0.0382024284679966,0.0379854229914584,0.0382024284679966,0.0379854229914584,0.0575408624866421,0.0318891832727525
"2018-04-05",0.000734448920816186,26.29549,"13:09:00",0.360875,0.39645,0.000180525397275824,0.00682416092604399,0.0455321258562493,0.0381996588740371,0.0379867616906693,0.0381996588740371,0.0379867616906693,0.0574727870296054,0.0319105460451722
"2018-04-06",0.00194165884996836,25.91767,"13:09:00",0.3584663,0.39645,0.000180828877071507,0.00685409409925342,0.0511978471550182,0.0382001031637093,0.0379865467585086,0.0382001031637093,0.0379865467585086,0.0575601469924278,0.0318831287522226
"2018-04-07",0.0015274207148605,25.5419,"13:09:00",0.3492209,0.39645,0.000181993734506253,0.00687292031943798,0.0496722211381875,0.0382018107149807,0.0379857213522864,0.0382018107149807,0.0379857213522864,0.0576150255059577,0.03186589230297
"2018-04-08",0.00157830368400868,25.1683,"13:09:00",0.3432832,0.39645,0.000182741844267892,0.00689207017421722,0.0498751839586766,0.0382029092112826,0.0379851908955019,0.0382029092112826,0.0379851908955019,0.057670795061968,0.0318483654576928
"2018-04-09",0.00390062005818762,24.79659,"13:08:00",0.3654941,0.39645,0.000179943422133941,0.00663492036983371,0.0562173930300701,0.0381988075416163,0.0379871737320702,0.0381988075416163,0.0379871737320702,0.0569175599391427,0.0320842117348051
"2018-04-10",0.000124077454745892,24.42698,"13:08:00",0.3436878,0.39645,0.000182690867423382,0.00676165521144867,0.0378672395532548,0.0382028343129497,0.0379852270500421,0.0382028343129497,0.0379852270500421,0.0572899527703759,0.0319678446067585
"2018-04-11",0.00150481713812924,24.05981,"13:08:00",0.3453921,0.39645,0.000182476137230408,0.00687738135457039,0.049580426821868,0.0382025188916307,0.037985379330069,0.0382025188916307,0.037985379330069,0.0576280219707276,0.0318618088211814
"2018-04-12",0.000342601827141085,23.69516,"13:08:00",0.3522679,0.39645,0.00018160983325767,0.00698867393657565,0.0418955316706517,0.0382012475702262,0.0379859934550871,0.0382012475702262,0.0379859934550871,0.0579513198030816,0.031760040746807
"2018-04-13",0.00233931198400906,23.33263,"13:07:00",0.3650056,0.39645,0.000180004969807038,0.00695755518972874,0.0524486000348393,0.0381988975338855,0.037987130163986,0.0381988975338855,0.037987130163986,0.0578611036482819,0.0317884758104721
"2018-04-14",0.00044767092470798,22.97271,"13:07:00",0.3636,0.39645,0.000180182065834283,0.00695769395679235,0.0431031321718215,0.0381991565308564,0.0379870047915207,0.0381991565308564,0.0379870047915207,0.057861506261721,0.0317883489751771
"2018-04-15",0.00228182772003001,22.61558,"13:07:00",0.3614466,0.39645,0.000180453379568679,0.00688080117106438,0.0522780524458838,0.0381995534763819,0.0379868126887264,0.0381995534763819,0.0379868126887264,0.0576379830809993,0.0318586786551338
"2018-04-16",0.000222194695214409,22.26134,"13:07:00",0.3853506,0.39645,0.0001774416383655,0.00690008141100407,0.0400778613738747,0.0381951579261599,0.0379889430761321,0.0381951579261599,0.0379889430761321,0.0576941102416005,0.0318410349709814
"2018-04-17",0.000956115875953294,21.90962,"13:06:00",0.3649381,0.3906,0.000181211832834108,0.00690035661682487,0.0469414843922941,0.0382006641462182,0.0379862754741267,NA,NA,0.0576949110108491,0.0318407831692226
"2018-04-18",0.000682130732553703,21.56084,"13:06:00",0.3634391,0.3906,0.000181403525230411,0.0068244356662035,0.0451523064518406,0.0382009450945528,0.0379861396526481,0.0382009450945528,0.0379861396526481,0.0574735894411271,0.031910294331144
"2018-04-19",1.34106746855828e-05,21.2152,"13:06:00",0.3733095,0.3906,0.000180141296658998,0.00688080117106438,0.0312791397743545,0.0381990969000754,0.0379870336548303,0.0381990969000754,0.0379870336548303,0.0576379830809993,0.0318586786551338
"2018-04-20",0.000761771063930994,20.87279,"13:06:00",0.3677138,0.3906,0.000180856875806462,0.00685051549226046,0.0457222261947143,0.0382001441654733,0.0379865269267806,0.0382001441654733,0.0379865269267806,0.0575497095801766,0.0318864058154078
